Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Timestamp
192.168.56.101-192.168.56.102-139-48416-6,192.168.56.102,48416.0,192.168.56.101,139.0,6.0,396.0,2.0,3.0,72.0,5.0,72.0,0.0,36.0,50.91168824543142,5.0,0.0,1.6666666666666667,2.886751345948129,194444.44444444447,12626.262626262627,99.0,50.603030212297234,150.0,40.0,75.0,75.0,0.0,75.0,75.0,396.0,198.0,67.88225099390856,246.0,150.0,0.0,0.0,0.0,0.0,64.0,112.0,5050.505050505051,7575.757575757576,0.0,72.0,12.833333333333334,29.05454640270033,844.1666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.4,36.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,2.0,72.0,3.0,5.0,-1.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal Traffic,2026-02-02 22:02:43
192.168.56.101-192.168.56.102-139-48422-6,192.168.56.102,48422.0,192.168.56.101,139.0,6.0,200.0,2.0,3.0,72.0,5.0,72.0,0.0,36.0,50.91168824543142,5.0,0.0,1.6666666666666667,2.886751345948129,385000.0,25000.0,50.0,26.807959017177467,79.0,15.0,59.0,59.0,0.0,59.0,59.0,200.0,100.0,74.95331880577403,153.0,47.0,0.0,0.0,0.0,0.0,64.0,112.0,10000.0,15000.0,0.0,72.0,12.833333333333334,29.05454640270033,844.1666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.4,36.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,2.0,72.0,3.0,5.0,-1.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal Traffic,2026-02-02 22:02:44
192.168.56.101-192.168.56.102-0-0-0,192.168.56.102,0.0,192.168.56.101,0.0,0.0,60374740.0,59.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9875861991289727,507350.7563025211,513669.0398193488,1027422.0,89.0,59358073.0,1023415.051724138,1362.7294903774375,1027533.0,1019179.0,60374740.0,1006245.6666666667,132076.62808368023,1027528.0,312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.977229881238412,1.0103563178905617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,61.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal Traffic,2026-02-02 22:02:45
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0.0,8.0.6.4,0.0,0.0,113499111.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1145383420668378,9458259.250000002,13235669.271992406,41130381.0,12.0,113499004.0,10318091.272727272,13525617.493070858,41130381.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1057277003693887,0.008810641697449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,-1.0,-1.0,0.0,0.0,84.0,66.03408210916541,161.0,12.0,18916441.166666664,13065419.165180309,41130381.0,5073875.0,Normal Traffic,2026-02-02 22:02:46
192.168.56.101-192.168.56.102-445-46458-6,192.168.56.102,46458.0,192.168.56.101,445.0,6.0,40060749.0,19.0,16.0,2781.0,2942.0,626.0,0.0,146.36842105263162,147.2085484105668,460.0,0.0,183.87500000000003,138.9709202195433,142.8580379263503,0.8736731307744645,1178257.3235294118,6851397.695895341,39953380.0,44.0,40060518.0,2225584.333333333,9415626.20661678,39953380.0,90.0,40017145.0,2667809.6666666665,10326510.289659554,39995918.0,70.0,0.0,0.0,0.0,0.0,608.0,528.0,0.4742796995632807,0.3993934312111837,0.0,626.0,158.9722222222222,143.2253940195784,20513.51349206349,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.5142857142857,146.3684210526316,183.875,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2781.0,16.0,2942.0,-1.0,250.0,14.0,0.0,62187.0,0.0,62187.0,62187.0,39953380.0,0.0,39953380.0,39953380.0,Normal Traffic,2026-02-02 22:02:47
192.168.56.100-192.168.56.101-67-68-17,192.168.56.101,68.0,192.168.56.100,67.0,17.0,2247.0,0.0,2.0,0.0,864.0,0.0,0.0,0.0,0.0,548.0,316.0,432.0,164.048773235279,384512.6835781042,890.0756564307967,2247.0,0.0,2247.0,2247.0,0.0,0.0,0.0,0.0,0.0,2247.0,2247.0,0.0,2247.0,2247.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,890.0756564307967,316.0,548.0,393.3333333333333,133.94526245199316,17941.333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590.0,0.0,432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,864.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal Traffic,2026-02-02 22:02:48
192.168.56.101-224.0.0.22-0-0-0,192.168.56.101,0.0,224.0.0.22,0.0,0.0,401295.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.459661844777532,100323.75,189685.546095593,384772.0,251.0,390053.0,130017.66666666669,220636.66393945803,384772.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.967729475822026,2.4919323689555064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal Traffic,2026-02-02 22:02:49
192.168.56.101-192.168.56.102-445-59014-6,192.168.56.102,59014.0,192.168.56.101,445.0,6.0,36877852.0,5148.0,1789.0,4305424.0,40718445.0,1448.0,0.0,836.3294483294476,693.4542948144634,63712.0,0.0,22760.449972051418,28554.82762798556,1220891.8512932912,188.1074852190415,5316.876009227218,144653.655862768,7665886.0,0.0,36877524.0,7164.857975519712,167886.86120840846,7665886.0,0.0,36837409.0,20602.57774049219,287262.1364728001,7708951.0,0.0,0.0,0.0,0.0,0.0,164820.0,57276.0,139.59598297644885,48.511502242592655,0.0,63712.0,6489.4593542807725,17393.020635444598,302517166.82500166,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6490.394839267695,836.3294483294484,22760.449972051425,0.0,0.0,0.0,0.0,0.0,0.0,5148.0,4305424.0,1789.0,40718445.0,-1.0,2044.0,3893.0,0.0,5676528.5,7755704.860866258,11160640.0,192417.0,7088144.0,817050.5719525567,7665886.0,6510402.0,Normal Traffic,2026-02-02 22:02:50
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0.0,8.0.6.4,0.0,0.0,84181992.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0712741508896582,16836398.4,23083695.826660786,43742844.0,16.0,84181976.0,21045494.0,24338572.518209293,43742844.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0593951257413818,0.0118790251482763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,-1.0,-1.0,0.0,0.0,62.5,65.76093065034893,109.0,16.0,42090925.0,2336166.253741801,43742844.0,40439006.0,Normal Traffic,2026-02-02 22:02:51
192.168.56.101-192.168.56.102-445-46458-6,192.168.56.102,46458.0,192.168.56.101,445.0,6.0,303.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3300.3300330033003,6600.660066006601,303.0,0.0,303.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,20.0,3300.3300330033003,3300.3300330033003,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,-1.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal Traffic,2026-02-02 22:02:52
