Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.56.101-192.168.56.102-3389-50272-6,192.168.56.102,50272,192.168.56.101,3389,6,04/02/2026 10:08:01 PM,440,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9090.90909090909,146.66666666666666,34.03429642777023,185.0,120.0,185.0,185.0,0.0,185.0,185.0,120.0,120.0,0.0,120.0,120.0,0,0,0,0,64,80,4545.454545454545,4545.454545454545,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,-1,64000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brute Force Attack
192.168.56.101-192.168.56.102-3389-49068-6,192.168.56.102,49068,192.168.56.101,3389,6,04/02/2026 10:06:01 PM,339,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11799.410029498526,113.0,20.663978319771825,130.0,90.0,90.0,90.0,0.0,90.0,90.0,130.0,130.0,0.0,130.0,130.0,0,0,0,0,64,80,5899.705014749263,5899.705014749263,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,-1,64000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brute Force Attack
192.168.56.101-192.168.56.102-3389-40632-6,192.168.56.102,40632,192.168.56.101,3389,6,04/02/2026 10:06:14 PM,365,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10958.904109589042,121.66666666666669,12.34233905438241,132.0,108.0,108.0,108.0,0.0,108.0,108.0,132.0,132.0,0.0,132.0,132.0,0,0,0,0,64,80,5479.452054794521,5479.452054794521,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,-1,64000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brute Force Attack
192.168.56.101-192.168.56.102-3389-41938-6,192.168.56.102,41938,192.168.56.101,3389,6,04/02/2026 10:08:46 PM,291,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13745.704467353951,97.0,86.01744009211156,164.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,127.0,0.0,127.0,127.0,0,0,0,0,64,80,6872.852233676976,6872.852233676976,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,-1,64000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brute Force Attack
192.168.56.101-192.168.56.102-80-42926-6,192.168.56.101,80,192.168.56.102,42926,6,04/02/2026 10:24:02 PM,84,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23809.52380952381,84.0,0.0,84.0,84.0,0.0,0.0,0.0,0.0,0.0,84.0,84.0,0.0,84.0,84.0,0,0,0,0,0,64,0.0,23809.52380952381,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,248,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brute Force Attack
192.168.56.101-192.168.56.102-445-37324-6,192.168.56.101,445,192.168.56.102,37324,6,04/02/2026 09:52:46 PM,41,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48780.487804878045,41.0,0.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,32,24390.243902439022,24390.243902439022,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,255,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brute Force Attack
192.168.56.101-192.168.56.102-80-40852-6,192.168.56.101,80,192.168.56.102,40852,6,04/02/2026 10:14:12 PM,109,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18348.623853211007,109.0,0.0,109.0,109.0,0.0,0.0,0.0,0.0,0.0,109.0,109.0,0.0,109.0,109.0,0,0,0,0,0,64,0.0,18348.623853211007,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,248,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brute Force Attack
192.168.56.101-192.168.56.102-3389-33838-6,192.168.56.101,3389,192.168.56.102,33838,6,04/02/2026 10:01:05 PM,10265398,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1948292701364331,10265398.0,0.0,10265398.0,10265398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,0.0974146350682165,0.0974146350682165,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brute Force Attack
192.168.56.101-192.168.56.102-445-48176-6,192.168.56.101,445,192.168.56.102,48176,6,04/02/2026 09:51:49 PM,17,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117647.0588235294,17.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,32,58823.52941176471,58823.52941176471,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,255,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brute Force Attack
192.168.56.101-192.168.56.102-445-39692-6,192.168.56.101,445,192.168.56.102,39692,6,04/02/2026 06:05:57 AM,22,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90909.09090909093,22.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,32,45454.545454545456,45454.545454545456,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,255,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brute Force Attack
